cik,institution,last_accesion_number,last_report_period,last_filing_date,total_value,total_holding,updated_on
51762,RNC CAPITAL MANAGEMENT LLC,0000051762-24-000001,2023-12-31,2024-01-17,1669355168,146,2024-04-04 01:46:18.542150
2004720,WEST PACES ADVISORS INC.,0001398344-24-001315,2023-12-31,2024-01-30,355875171,616,2024-04-04 01:46:18.542150
1731134,"MayTech Global Investments, LLC",0001214659-24-002924,2023-12-31,2024-02-14,494371722,31,2024-04-04 01:46:18.542150
1607841,"SC US (TTGP), LTD.",0000950123-24-002192,2023-12-31,2024-02-14,12124024840,37,2024-04-04 01:46:18.542150
1661245,Moss Adams Wealth Advisors LLC,0001661245-24-000001,2023-12-31,2024-02-06,479657837,190,2024-04-04 01:46:18.542150
1766806,Shaolin Capital Management LLC,0001172661-24-000885,2023-12-31,2024-02-14,3706564411,446,2024-04-04 01:46:18.542150
1974403,"Vawter Financial, Ltd.",0001974403-24-000001,2023-12-31,2024-02-13,127823810,78,2024-04-04 01:46:18.542150
1007280,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,0001007280-24-000001,2023-12-31,2024-02-16,25028243842,1973,2024-04-04 01:46:18.542150
1845199,CoreFirst Bank & Trust,0001845199-24-000001,2023-12-31,2024-03-18,150440462,465,2024-04-04 01:46:18.542150
1540656,Gladius Capital Management LP,0001540656-24-000003,2023-12-31,2024-02-07,640671868,311,2024-04-04 01:46:18.542150
102909,VANGUARD GROUP INC,0001104659-24-023150,2023-12-31,2024-02-14,4569610310498,15952,2024-04-04 01:46:18.542150
2004581,Wyrmwood Management LLC,0002004581-24-000001,2023-12-31,2024-01-02,104496,4,2024-04-04 01:46:18.542150
1105087,STADIUM CAPITAL MANAGEMENT LLC,0000935836-24-000198,2023-12-31,2024-02-14,119311241,10,2024-04-04 01:46:18.542150
1616336,"One River Asset Management, LLC",0001172661-24-000614,2023-12-31,2024-02-09,4450029870,301,2024-04-04 01:46:18.542150
1993325,"Slocum, Gordon & Co LLP",0001993325-24-000001,2023-12-31,2024-02-14,113963026,134,2024-04-04 01:46:18.542150
1803296,"WNY Asset Management, LLC",0001803296-24-000001,2023-12-31,2024-02-21,591607204,217,2024-04-04 01:46:18.542150
315032,STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,0000315032-24-000019,2023-12-31,2024-02-14,103981147458,209,2024-04-04 01:46:18.542150
918504,BIRMINGHAM CAPITAL MANAGEMENT CO INC/AL,0000918504-24-000001,2023-12-31,2024-02-20,252860098,103,2024-04-04 01:46:18.542150
51812,STONEBRIDGE CAPITAL MANAGEMENT INC,0000051812-24-000001,2023-12-31,2024-03-05,205042,82,2024-04-04 01:46:18.542150
714142,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,0000714142-24-000001,2023-12-31,2024-02-26,10711050,3659,2024-04-04 01:46:18.542150
1846532,"Continuum Advisory, LLC",0001934500-24-000003,2023-12-31,2024-02-14,702949664,451,2024-04-04 01:46:18.542150
1837309,Polar Capital Holdings Plc,0001172661-24-000951,2023-12-31,2024-02-14,16323531320,276,2024-04-04 01:46:18.542150
1894164,"Burns Matteson Capital Management, LLC",0001894164-24-000002,2023-12-31,2024-01-12,142379038,135,2024-04-04 01:46:18.542150
1747821,"Decheng Capital Management III (Cayman), LLC",0001104659-23-117065,2023-09-30,2023-11-13,312948514,27,2024-04-04 01:46:18.542150
850529,"Fisher Asset Management, LLC",0000850529-24-000005,2023-12-31,2024-02-06,203104395639,1161,2024-04-04 01:46:18.542150
1546283,Glovista Investments LLC,0001085146-24-001114,2023-12-31,2024-02-12,215336363,40,2024-04-04 01:46:18.542150
1372130,"HEADINVEST, LLC",0001372130-24-000001,2023-12-31,2024-02-12,480754062,230,2024-04-04 01:46:18.542150
1632932,"Sunbelt Securities, Inc.",0001062993-24-003222,2023-12-31,2024-02-15,794166298,1699,2024-04-04 01:46:18.542150
877134,WESBANCO BANK INC,0000877134-24-000005,2023-12-31,2024-02-16,1765705718,855,2024-04-04 01:46:18.542150
1927705,"Delap Wealth Advisory, LLC",0001725547-24-000560,2023-12-31,2024-02-15,220858699,95,2024-04-04 01:46:18.542150
1695582,"RB Capital Management, LLC",0001095449-24-000011,2023-12-31,2024-02-06,349205971,176,2024-04-04 01:46:18.542150
931097,CCM INVESTMENT ADVISERS LLC,0000931097-24-000001,2023-12-31,2024-03-05,812602871,75,2024-04-04 01:46:18.542150
1957148,"ETFIDEA, LLC",0001957148-24-000001,2023-12-31,2024-01-23,266026119,108,2024-04-04 01:46:18.542150
1629271,"PALLADIEM, LLC",0001629271-23-000005,2023-09-30,2023-12-08,92625153,53,2024-04-04 01:46:18.542150
2003074,SYLEBRA CAPITAL LLC,0001085146-24-001509,2023-12-31,2024-02-15,2639739181,24,2024-04-04 01:46:18.542150
1911726,Raleigh Capital Management Inc.,0001911726-24-000002,2023-12-31,2024-02-21,215335013,1772,2024-04-04 01:46:18.542150
1767343,"DAGCO, INC.",0001767343-24-000001,2023-12-31,2024-02-15,197065573,220,2024-04-04 01:46:18.542150
1539338,Financial Advisory Group,0001539338-24-000002,2023-12-31,2024-02-13,527302338,87,2024-04-04 01:46:18.542150
1642058,"Financial Insights, Inc.",0001085146-24-000465,2023-06-30,2024-01-25,272266412,152,2024-04-04 01:46:18.542150
1393825,Hudson Bay Capital Management LP,0001393825-24-000128,2023-12-31,2024-02-14,15773357985,712,2024-04-04 01:46:18.542150
1510809,David R. Rahn & Associates Inc.,0001172661-24-000211,2023-12-31,2024-01-12,238190223,93,2024-04-04 01:46:18.542150
1613331,Fragasso Group Inc.,0001613331-24-000001,2023-12-31,2024-01-08,1098318680,247,2024-04-04 01:46:18.542150
1821219,Global Frontier Investments LLC,0001821219-24-000002,2023-12-31,2024-03-13,302606,28,2024-04-04 01:46:18.542150
1740642,"Grant Street Asset Management, Inc.",0001398344-24-001035,2023-12-31,2024-01-25,282383282,63,2024-04-04 01:46:18.542150
1133219,MUHLENKAMP & CO INC,0001133219-24-000001,2023-12-31,2024-01-08,305708761,29,2024-04-04 01:46:18.542150
1750924,"VisionPoint Advisory Group, LLC",0001750924-24-000002,2023-12-31,2024-02-07,271031851,748,2024-04-04 01:46:18.542150
831001,CITIGROUP INC,0000831001-24-000027,2023-12-31,2024-02-09,141925255068,13899,2024-04-04 01:46:18.542150
1679688,"DigitalBridge Group, Inc.",0001172661-24-000619,2023-12-31,2024-02-09,1067575308,157,2024-04-04 01:46:18.542150
1536063,"TEGEAN CAPITAL MANAGEMENT, LLC",0000919574-24-001104,2023-12-31,2024-02-14,82140766,16,2024-04-04 01:46:18.542150
1764968,Advisory Resource Group,0001764968-24-000001,2023-12-31,2024-01-11,401105077,150,2024-04-04 01:46:18.542150
1661222,Ashburton (Jersey) Ltd,0001661222-24-000001,2023-12-31,2024-02-06,225850,54,2024-04-04 01:46:18.542150
2003112,"Austin Wealth Management, LLC",0001085146-24-001532,2023-12-31,2024-02-21,372940256,116,2024-04-04 01:46:18.542150
2002628,Morton Capital Management LLC/CA,0001085146-24-000282,2023-12-31,2024-01-18,336661556,98,2024-04-04 01:46:18.542150
1322613,"RR Advisors, LLC",0001322613-24-000002,2023-12-31,2024-02-13,584261,21,2024-04-04 01:46:18.542150
